"","year","CDC","AGI","state"
"1688","1955","","","MT"
"1689","1956","","","MT"
"1690","1957","","","MT"
"1691","1958","","","MT"
"1692","1959","","","MT"
"1693","1960","","","MT"
"1694","1961","","","MT"
"1695","1962","","","MT"
"1696","1963","","","MT"
"1697","1964","","","MT"
"1698","1965","","","MT"
"1699","1966","","","MT"
"1700","1967","","","MT"
"1701","1968","","","MT"
"1702","1969","","","MT"
"1703","1970","","","MT"
"1704","1971","","","MT"
"1705","1972","","","MT"
"1706","1973","","450","MT"
"1707","1974","732","1,240","MT"
"1708","1975","1,535","1,490","MT"
"1709","1976","1,803","1,670","MT"
"1710","1977","2,539","2,280","MT"
"1711","1978","3,044","3,100","MT"
"1712","1979","3,447","3,550","MT"
"1713","1980","3,471","3,670","MT"
"1714","1981","3,838","4,190","MT"
"1715","1982","4,175","4,230","MT"
"1716","1983","4,061","","MT"
"1717","1984","3,618","3,880","MT"
"1718","1985","3,291","3,710","MT"
"1719","1986","3,295","","MT"
"1720","1987","3,175","3,280","MT"
"1721","1988","2,866","3,050","MT"
"1722","1989","3,245","","MT"
"1723","1990","3,365","","MT"
"1724","1991","3,226","3,680","MT"
"1725","1992","2,869","3,300","MT"
"1726","1993","2,645","","MT"
"1727","1994","2,761","","MT"
"1728","1995","2,674","3,010","MT"
"1729","1996","2,763","2,900","MT"
"1730","1997","2,809","","MT"
"1731","1998","2,573","","MT"
"1732","1999","2,499","(2,540)","MT"
"1733","2000","2,441","2,510","MT"
"1734","2001","2,350","","MT"
"1735","2002","2,249","","MT"
"1736","2003","2,249","","MT"
"1737","2004","2,256","(2,330)","MT"
"1738","2005","2,155","2,150","MT"
"1739","2006","2,119","","MT"
"1740","2007","2,238","2,350","MT"
"1741","2008","2,125","2,230","MT"
"1742","2009","2,223","","MT"
"1743","2010","2,160","2,220","MT"
"1744","2011","2,147","2,220","MT"
"1745","2012","2,031","","MT"
"1746","2013","1,842","1,840","MT"
"1747","2014","1,690","1,690","MT"
"1748","2015","1,611","","MT"
"1749","2016","1,618","","MT"
"1750","2017","","","MT"
"1751","2018","","","MT"
"1752","year","abortions, reported(CDC/state)","abortions(AGI)","MT"
"1753","year","total in state","abortions(AGI)","MT"
"1754","year","total in state","abortions(AGI)","NE"
"1755","1940","","","NE"
"1756","1941","","","NE"
"1757","1942","","","NE"
"1758","1943","","","NE"
"1759","1944","","","NE"
"1760","1945","","","NE"
"1761","1946","","","NE"
"1762","1947","","","NE"
"1763","1948","","","NE"
"1764","1949","","","NE"
"1765","1950","","","NE"
"1766","1951","","","NE"
"1767","1952","","","NE"
"1768","1953","","","NE"
"1769","1954","","","NE"
"1770","1955","","","NE"
"1771","1956","","","NE"
"1772","1957","","","NE"
"1773","1958","","","NE"
"1774","1959","","","NE"
"1775","1960","","","NE"
"1776","1961","","","NE"
"1777","1962","","","NE"
"1778","1963","","","NE"
"1779","1964","","","NE"
"1780","1965","","","NE"
"1781","1966","","","NE"
"1782","1967","","","NE"
"1783","1968","","","NE"
"1784","1969","","","NE"
"1785","1970","","","NE"
"1786","1971","","","NE"
"1787","1972","789","","NE"
"1788","1973","","2,270","NE"
"1789","1974","3,094","3,180","NE"
"1790","1975","3,406","4,610","NE"
"1791","1976","3,977","4,600","NE"
"1792","1977","4,534","5,380","NE"
"1793","1978","4,837","6,630","NE"
"1794","1979","4,608","5,660","NE"
"1795","1980","6,060","6,350","NE"
"1796","1981","5,753","6,730","NE"
"1797","1982","5,698","6,580","NE"
"1798","1983","5,625","","NE"
"1799","1984","5,995","6,730","NE"
"1800","1985","6,012","6,680","NE"
"1801","1986","5,761","","NE"
"1802","1987","5,858","6,580","NE"
"1803","1988","6,006","6,490","NE"
"1804","1989","5,871","","NE"
"1805","1990","6,346","","NE"
"1806","1991","6,194","6,230","NE"
"1807","1992","5,637","5,580","NE"
"1808","1993","5,486","","NE"
"1809","1994","5,324","","NE"
"1810","1995","4,838","4,360","NE"
"1811","1996","5,214","4,460","NE"
"1812","1997","5,129","","NE"
"1813","1998","5,140","","NE"
"1814","1999","4,565","(4,520)","NE"
"1815","2000","4,178","4,250","NE"
"1816","2001","3,982","","NE"
"1817","2002","3,775","","NE"
"1818","2003","3,990","","NE"
"1819","2004","3,584","(3,660)","NE"
"1820","2005","3,173","3,220","NE"
"1821","2006","2,927","","NE"
"1822","2007","2,481","2,530","NE"
"1823","2008","2,813","2,840","NE"
"1824","2009","2,551","","NE"
"1825","2010","2,464","2,490","NE"
"1826","2011","2,372","2,570","NE"
"1827","2012","2,299","","NE"
"1828","2013","2,177","2,230","NE"
"1829","2014","2,270","2,280","NE"
"1830","2015","2,004","","NE"
"1831","2016","1,907","","NE"
"1832","2017","1,958","","NE"
"1833","2018","","","NE"
"1834","year","abortions, reported(CDC/state)","abortions(AGI)","NE"
"1835","year","total in state","abortions(AGI)","NE"
"1836","year","total in state","abortions(AGI)","NV"
"1837","1970","","","NV"
"1838","1971","","","NV"
"1839","1972","","","NV"
"1840","1973","","950","NV"
"1841","1974","1,614","1,470","NV"
"1842","1975","1,807","3,000","NV"
"1843","1976","2,382","3,840","NV"
"1844","1977","4,297","4,310","NV"
"1845","1978","4,734","6,060","NV"
"1846","1979","6,374","8,200","NV"
"1847","1980","7,300","9,170","NV"
"1848","1981","7,259","9,700","NV"
"1849","1982","6,794","9,960","NV"
"1850","1983","6,062","","NV"
"1851","1984","5,742","9,370","NV"
"1852","1985","6,401","9,910","NV"
"1853","1986","6,678","","NV"
"1854","1987","6,920","10,710","NV"
"1855","1988","6,936","10,190","NV"
"1856","1989","7,168","","NV"
"1857","1990","7,226","","NV"
"1858","1991","7,484","14,450","NV"
"1859","1992","8,022","13,300","NV"
"1860","1993","6,955","","NV"
"1861","1994","6,736","","NV"
"1862","1995","6,942","15,600","NV"
"1863","1996","6,965","15,450","NV"
"1864","1997","6,887","","NV"
"1865","1998","7,325","","NV"
"1866","1999","8,096","(11,220)","NV"
"1867","2000","8,732","13,740","NV"
"1868","2001","10,110","","NV"
"1869","2002","9,960","","NV"
"1870","2003","9,323","","NV"
"1871","2004","9,856","(13,080)","NV"
"1872","2005","10,565","13,530","NV"
"1873","2006","11,471","","NV"
"1874","2007","10,646","14,070","NV"
"1875","2008","10,789","13,450","NV"
"1876","2009","9,540","","NV"
"1877","2010","7,787","11,850","NV"
"1878","2011","7,206","11,290","NV"
"1879","2012","7,218","","NV"
"1880","2013","6,056","9,810","NV"
"1881","2014","8,132","10,970","NV"
"1882","2015","","","NV"
"1883","2016","","","NV"
"1884","2017","","","NV"
"1885","2018","","","NV"
"1886","year","abortions, reported(CDC/state)","abortions(AGI)","NV"
"1887","year","total in state","abortions(AGI)","NV"
"1888","year","total in state","abortions(AGI)","NH"
"1889","1970","","","NH"
"1890","1971","","","NH"
"1891","1972","","","NH"
"1892","1973","","570","NH"
"1893","1974","668","830","NH"
"1894","1975","1,396","1,820","NH"
"1895","1976","1,958","2,540","NH"
"1896","1977","1,735","3,450","NH"
"1897","1978","2,300","3,980","NH"
"1898","1979","3,116","4,210","NH"
"1899","1980","3,432","4,660","NH"
"1900","1981","3,757","5,870","NH"
"1901","1982","3,711","5,600","NH"
"1902","1983","3,436","","NH"
"1903","1984","4,801","6,740","NH"
"1904","1985","4,823","7,030","NH"
"1905","1986","4,485","","NH"
"1906","1987","4,009","4,680","NH"
"1907","1988","4,156","4,710","NH"
"1908","1989","3,886","","NH"
"1909","1990","4,259","","NH"
"1910","1991","3,842","4,260","NH"
"1911","1992","3,129","3,890","NH"
"1912","1993","3,057","","NH"
"1913","1994","3,008","","NH"
"1914","1995","2,771","3,240","NH"
"1915","1996","2,300","3,470","NH"
"1916","1997","2,069","","NH"
"1917","1998","","","NH"
"1918","1999","","(2,750)","NH"
"1919","2000","","3,010","NH"
"1920","2001","","","NH"
"1921","2002","","","NH"
"1922","2003","","","NH"
"1923","2004","","(3,160)","NH"
"1924","2005","","3,170","NH"
"1925","2006","","","NH"
"1926","2007","","3,200","NH"
"1927","2008","","3,200","NH"
"1928","2009","","","NH"
"1929","2010","","3,040","NH"
"1930","2011","","3,200","NH"
"1931","2012","","","NH"
"1932","2013","","2,320","NH"
"1933","2014","","2,540","NH"
"1934","2015","","","NH"
"1935","2016","","","NH"
"1936","2017","","","NH"
"1937","2018","","","NH"
"1938","year","abortions, reported(CDC/state)","abortions(AGI)","NH"
"1939","year","total in state","abortions(AGI)","NH"
"1940","year","total in state","abortions(AGI)","NJ"
"1941","1970","","","NJ"
"1942","1971","","","NJ"
"1943","1972","","","NJ"
"1944","1973","","10,230","NJ"
"1945","1974","20,532","22,700","NJ"
"1946","1975","26,291","32,420","NJ"
"1947","1976","29,572","39,880","NJ"
"1948","1977","30,702","44,910","NJ"
"1949","1978","28,431","48,040","NJ"
"1950","1979","24,714","51,230","NJ"
"1951","1980","30,239","55,460","NJ"
"1952","1981","29,254","59,480","NJ"
"1953","1982","30,269","61,080","NJ"
"1954","1983","24,722","","NJ"
"1955","1984","31,236","65,860","NJ"
"1956","1985","31,266","69,190","NJ"
"1957","1986","33,376","","NJ"
"1958","1987","33,395","63,570","NJ"
"1959","1988","35,987","63,900","NJ"
"1960","1989","40,329","","NJ"
"1961","1990","41,358","","NJ"
"1962","1991","37,686","55,800","NJ"
"1963","1992","38,239","55,320","NJ"
"1964","1993","36,508","","NJ"
"1965","1994","33,856","","NJ"
"1966","1995","32,947","61,130","NJ"
"1967","1996","31,860","63,100","NJ"
"1968","1997","30,654","","NJ"
"1969","1998","35,686","","NJ"
"1970","1999","35,126","(63,700)","NJ"
"1971","2000","33,026","65,780","NJ"
"1972","2001","33,606","","NJ"
"1973","2002","32,854","","NJ"
"1974","2003","32,762","","NJ"
"1975","2004","32,642","(58,050)","NJ"
"1976","2005","31,230","61,150","NJ"
"1977","2006","30,986","","NJ"
"1978","2007","26,668","55,370","NJ"
"1979","2008","28,480","54,160","NJ"
"1980","2009","28,519","","NJ"
"1981","2010","28,217","48,840","NJ"
"1982","2011","26,558","46,990","NJ"
"1983","2012","22,953","","NJ"
"1984","2013","21,720","43,670","NJ"
"1985","2014","24,181","44,460","NJ"
"1986","2015","22,991","","NJ"
"1987","2016","","","NJ"
"1988","2017","","","NJ"
"1989","2018","","","NJ"
"1990","year","abortions, reported(CDC/state)","abortions(AGI)","NJ"
"1991","year","total in state","abortions(AGI)","NJ"
"1992","year","total in state","abortions(AGI)","NM"
"1993","1970","","","NM"
"1994","1971","","","NM"
"1995","1972","6,300","","NM"
"1996","1973","","4,660","NM"
"1997","1974","3,469","3,600","NM"
"1998","1975","4,195","5,090","NM"
"1999","1976","5,008","5,720","NM"
"2000","1977","4,568","6,290","NM"
"2001","1978","4,752","6,250","NM"
"2002","1979","5,193","8,020","NM"
"2003","1980","5,671","8,410","NM"
"2004","1981","5,194","7,280","NM"
"2005","1982","5,213","7,470","NM"
"2006","1983","5,182","","NM"
"2007","1984","5,202","5,380","NM"
"2008","1985","4,801","6,110","NM"
"2009","1986","4,640","","NM"
"2010","1987","5,142","6,650","NM"
"2011","1988","5,126","6,810","NM"
"2012","1989","5,350","","NM"
"2013","1990","5,288","","NM"
"2014","1991","5,745","6,190","NM"
"2015","1992","5,624","6,410","NM"
"2016","1993","5,381","","NM"
"2017","1994","4,929","","NM"
"2018","1995","4,811","5,450","NM"
"2019","1996","5,033","5,470","NM"
"2020","1997","5,382","","NM"
"2021","1998","5,395","","NM"
"2022","1999","5,098","(5,500)","NM"
"2023","2000","5,465","5,760","NM"
"2024","2001","5,166","","NM"
"2025","2002","5,069","","NM"
"2026","2003","5,832","","NM"
"2027","2004","6,070","(6,260)","NM"
"2028","2005","5,934","6,220","NM"
"2029","2006","6,087","","NM"
"2030","2007","6,036","6,840","NM"
"2031","2008","5,398","6,150","NM"
"2032","2009","5,022","","NM"
"2033","2010","4,779","5,630","NM"
"2034","2011","4,083","5,180","NM"
"2035","2012","3,517","","NM"
"2036","2013","4,198","4,200","NM"
"2037","2014","4,500","4,650","NM"
"2038","2015","4,669","","NM"
"2039","2016","3,233","","NM"
"2040","2017","","","NM"
"2041","2018","","","NM"
"2042","year","abortions, reported(CDC/state)","abortions(AGI)","NM"
"2043","year","total in state","abortions(AGI)","NM"
"2044","year","total in state","abortions(AGI)","NY"
"2045","1930","","","NY"
"2046","1931","","","NY"
"2047","1932","(20)","","NY"
"2048","1933","(20)","","NY"
"2049","1934","(20)","","NY"
"2050","1935","(40)","","NY"
"2051","1936","(40)","","NY"
"2052","1937","(40)","","NY"
"2053","1938","(40)","","NY"
"2054","1939","(40)","","NY"
"2055","1940","(40)","","NY"
"2056","1941","(40)","","NY"
"2057","1942","(40)","","NY"
"2058","1943","680","","NY"
"2059","1944","689","","NY"
"2060","1945","687","","NY"
"2061","1946","803","","NY"
"2062","1947","733","","NY"
"2063","1948","","","NY"
"2064","1949","668","","NY"
"2065","1950","","","NY"
"2066","1951","679","","NY"
"2067","1952","547","","NY"
"2068","1953","472","","NY"
"2069","1954","440","","NY"
"2070","1955","328","","NY"
"2071","1956","328","","NY"
"2072","1957","336","","NY"
"2073","1958","(345)","","NY"
"2074","1959","(345)","","NY"
"2075","1960","292","","NY"
"2076","1961","292","","NY"
"2077","1962","292","","NY"
"2078","1963","","","NY"
"2079","1964","579","","NY"
"2080","1965","284","","NY"
"2081","1966","308","","NY"
"2082","1967","372","","NY"
"2083","1968","","","NY"
"2084","1969","","","NY"
"2085","1970","87,530","","NY"
"2086","1971","268,573","","NY"
"2087","1972","299,891","","NY"
"2088","1973","203,358","212,700","NY"
"2089","1974","161,521","168,960","NY"
"2090","1975","147,229","170,690","NY"
"2091","1976","147,860","170,900","NY"
"2092","1977","147,647","185,580","NY"
"2093","1978","153,703","187,050","NY"
"2094","1979","154,183","183,190","NY"
"2095","1980","150,997","187,460","NY"
"2096","1981","158,698","187,610","NY"
"2097","1982","164,733","182,700","NY"
"2098","1983","154,712","","NY"
"2099","1984","152,486","192,020","NY"
"2100","1985","156,435","195,120","NY"
"2101","1986","151,853","","NY"
"2102","1987","152,962","184,420","NY"
"2103","1988","142,862","183,980","NY"
"2104","1989","150,001","","NY"
"2105","1990","159,098","","NY"
"2106","1991","158,761","190,410","NY"
"2107","1992","164,274","195,390","NY"
"2108","1993","157,891","","NY"
"2109","1994","149,598","","NY"
"2110","1995","139,686","176,420","NY"
"2111","1996","152,991","167,600","NY"
"2112","1997","145,334","","NY"
"2113","1998","139,646","","NY"
"2114","1999","137,234","(162,100)","NY"
"2115","2000","129,678","164,630","NY"
"2116","2001","127,102","","NY"
"2117","2002","127,983","","NY"
"2118","2003","124,957","","NY"
"2119","2004","126,002","(160,140)","NY"
"2120","2005","124,849","155,960","NY"
"2121","2006","127,437","","NY"
"2122","2007","128,036","148,990","NY"
"2123","2008","124,867","153,110","NY"
"2124","2009","119,996","","NY"
"2125","2010","115,724","142,790","NY"
"2126","2011","111,296","138,370","NY"
"2127","2012","104,370","","NY"
"2128","2013","98,046","119,170","NY"
"2129","2014","96,711","119,940","NY"
"2130","2015","93,096","","NY"
"2131","2016","82,189","","NY"
"2132","2017","","","NY"
"2133","2018","","","NY"
"2134","year","abortions, reported(CDC/state)","abortions(AGI)","NY"
"2135","year","total in state","abortions(AGI)","NY"
"2136","year","total in state","abortions(AGI)","NC"
"2137","1969","305","","NC"
"2138","1970","1,357","","NC"
"2139","1971","4,378","","NC"
"2140","1972","8,365","","NC"
"2141","1973","11,935","12,260","NC"
"2142","1974","16,463","16,850","NC"
"2143","1975","19,960","19,960","NC"
"2144","1976","23,561","23,710","NC"
"2145","1977","25,020","24,960","NC"
"2146","1978","27,266","30,120","NC"
"2147","1979","29,479","30,370","NC"
"2148","1980","32,006","31,890","NC"
"2149","1981","32,050","33,220","NC"
"2150","1982","31,798","33,230","NC"
"2151","1983","32,952","","NC"
"2152","1984","34,458","35,800","NC"
"2153","1985","32,923","34,180","NC"
"2154","1986","33,765","","NC"
"2155","1987","35,544","37,630","NC"
"2156","1988","37,629","39,720","NC"
"2157","1989","36,799","","NC"
"2158","1990","36,494","","NC"
"2159","1991","36,420","37,210","NC"
"2160","1992","35,253","36,180","NC"
"2161","1993","34,906","","NC"
"2162","1994","35,088","","NC"
"2163","1995","33,420","34,600","NC"
"2164","1996","33,554","33,550","NC"
"2165","1997","31,495","","NC"
"2166","1998","33,105","","NC"
"2167","1999","32,081","(36,400)","NC"
"2168","2000","30,942","37,610","NC"
"2169","2001","30,419","","NC"
"2170","2002","29,229","","NC"
"2171","2003","31,006","","NC"
"2172","2004","33,954","(36,220)","NC"
"2173","2005","32,335","34,500","NC"
"2174","2006","35,088","","NC"
"2175","2007","33,233","34,290","NC"
"2176","2008","31,822","33,140","NC"
"2177","2009","30,596","","NC"
"2178","2010","30,952","32,700","NC"
"2179","2011","26,192","28,600","NC"
"2180","2012","24,439","","NC"
"2181","2013","22,820","30,550","NC"
"2182","2014","24,605","29,960","NC"
"2183","2015","27,631","","NC"
"2184","2016","27,138","","NC"
"2185","2017","27,183","","NC"
"2186","2018","","","NC"
"2187","year","abortions, reported(CDC/state)","abortions(AGI)","NC"
"2188","year","total in state","abortions(AGI)","NC"
"2189","year","total in state","abortions(AGI)","ND"
"2190","1937","","","ND"
"2191","1938","","","ND"
"2192","1939","","","ND"
"2193","1940","","","ND"
"2194","1941","","","ND"
"2195","1942","","","ND"
"2196","1943","","","ND"
"2197","1944","","","ND"
"2198","1945","","","ND"
"2199","1946","","","ND"
"2200","1947","","","ND"
"2201","1948","","","ND"
"2202","1949","","","ND"
"2203","1950","","","ND"
"2204","1951","","","ND"
"2205","1952","","","ND"
"2206","1953","","","ND"
"2207","1954","","","ND"
"2208","1955","","","ND"
"2209","1956","","","ND"
"2210","1957","","","ND"
"2211","1958","","","ND"
"2212","1959","","","ND"
"2213","1960","","","ND"
"2214","1961","","","ND"
"2215","1962","","","ND"
"2216","1963","","","ND"
"2217","1964","","","ND"
"2218","1965","","","ND"
"2219","1966","","","ND"
"2220","1967","","","ND"
"2221","1968","","","ND"
"2222","1969","","","ND"
"2223","1970","","","ND"
"2224","1971","","","ND"
"2225","1972","","","ND"
"2226","1973","","","ND"
"2227","1974","137","150","ND"
"2228","1975","812","890","ND"
"2229","1976","1,752","1,630","ND"
"2230","1977","2,005","1,900","ND"
"2231","1978","2,150","2,240","ND"
"2232","1979","2,810","2,810","ND"
"2233","1980","2,649","3,140","ND"
"2234","1981","2,554","3,180","ND"
"2235","1982","3,076","3,350","ND"
"2236","1983","3,028","","ND"
"2237","1984","2,872","2,940","ND"
"2238","1985","2,826","2,850","ND"
"2239","1986","2,664","","ND"
"2240","1987","2,562","2,560","ND"
"2241","1988","2,221","2,230","ND"
"2242","1989","1,761","","ND"
"2243","1990","1,723","","ND"
"2244","1991","1,602","1,600","ND"
"2245","1992","1,493","1,490","ND"
"2246","1993","1,406","","ND"
"2247","1994","1,301","","ND"
"2248","1995","1,334","1,330","ND"
"2249","1996","1,291","1,290","ND"
"2250","1997","1,226","","ND"
"2251","1998","1,242","","ND"
"2252","1999","1,345","(1,330)","ND"
"2253","2000","1,341","1,340","ND"
"2254","2001","1,216","","ND"
"2255","2002","1,219","","ND"
"2256","2003","1,354","","ND"
"2257","2004","1,357","(1,340)","ND"
"2258","2005","1,231","1,230","ND"
"2259","2006","1,298","","ND"
"2260","2007","1,235","1,240","ND"
"2261","2008","1,386","1,400","ND"
"2262","2009","1,290","","ND"
"2263","2010","1,291","1,290","ND"
"2264","2011","1,247","1,250","ND"
"2265","2012","1,330","","ND"
"2266","2013","1,182","1,180","ND"
"2267","2014","1,264","1,260","ND"
"2268","2015","1,166","","ND"
"2269","2016","1,226","","ND"
"2270","2017","1,155","","ND"
"2271","2018","","","ND"
"2272","year","abortions, reported(CDC/state)","abortions(AGI)","ND"
"2273","year","total in state","abortions(AGI)","ND"
"2274","year","total in state","abortions(AGI)","OH"
"2275","1950","","","OH"
"2276","1951","","","OH"
"2277","1952","4","","OH"
"2278","1953","6","","OH"
"2279","1954","","","OH"
"2280","1955","","","OH"
"2281","1956","1","","OH"
"2282","1957","","","OH"
"2283","1958","","","OH"
"2284","1959","1","","OH"
"2285","1960","","","OH"
"2286","1961","","","OH"
"2287","1962","","","OH"
"2288","1963","4","","OH"
"2289","1964","9","","OH"
"2290","1965","","","OH"
"2291","1966","","","OH"
"2292","1967","","","OH"
"2293","1968","","","OH"
"2294","1969","","","OH"
"2295","1970","","","OH"
"2296","1971","","","OH"
"2297","1972","","","OH"
"2298","1973","","17,270","OH"
"2299","1974","25,772","30,400","OH"
"2300","1975","36,675","44,600","OH"
"2301","1976","37,192","53,420","OH"
"2302","1977","47,715","60,190","OH"
"2303","1978","41,447","57,140","OH"
"2304","1979","41,851","64,380","OH"
"2305","1980","42,227","67,140","OH"
"2306","1981","45,567","60,700","OH"
"2307","1982","50,390","61,440","OH"
"2308","1983","44,709","","OH"
"2309","1984","41,666","58,040","OH"
"2310","1985","36,263","57,360","OH"
"2311","1986","35,435","","OH"
"2312","1987","40,571","51,490","OH"
"2313","1988","34,543","53,400","OH"
"2314","1989","36,291","","OH"
"2315","1990","32,165","","OH"
"2316","1991","41,705","52,030","OH"
"2317","1992","36,019","49,520","OH"
"2318","1993","41,673","","OH"
"2319","1994","37,742","","OH"
"2320","1995","36,950","40,940","OH"
"2321","1996","36,530","42,870","OH"
"2322","1997","38,242","","OH"
"2323","1998","37,479","","OH"
"2324","1999","37,041","(40,250)","OH"
"2325","2000","38,140","40,230","OH"
"2326","2001","37,464","","OH"
"2327","2002","35,830","","OH"
"2328","2003","35,319","","OH"
"2329","2004","34,242","(35,050)","OH"
"2330","2005","34,128","35,060","OH"
"2331","2006","32,936","","OH"
"2332","2007","30,859","33,790","OH"
"2333","2008","29,613","33,550","OH"
"2334","2009","28,721","","OH"
"2335","2010","28,123","30,220","OH"
"2336","2011","24,764","28,590","OH"
"2337","2012","25,473","","OH"
"2338","2013","23,216","24,560","OH"
"2339","2014","21,186","22,730","OH"
"2340","2015","20,976","","OH"
"2341","2016","20,672","","OH"
"2342","2017","20,893","","OH"
"2343","2018","","","OH"
"2344","year","abortions, reported(CDC/state)","abortions(AGI)","OH"
"2345","year","total in state","abortions(AGI)","OH"
"2346","year","total in state","abortions(AGI)","OK"
"2347","1930","","","OK"
"2348","1931","","","OK"
"2349","1932","","","OK"
"2350","1933","","","OK"
"2351","1934","","","OK"
"2352","1935","","","OK"
"2353","1936","","","OK"
"2354","1937","","","OK"
"2355","1938","","","OK"
"2356","1939","","","OK"
"2357","1940","","","OK"
"2358","1941","","","OK"
"2359","1942","","","OK"
"2360","1943","","","OK"
"2361","1944","","","OK"
"2362","1945","","","OK"
"2363","1946","","","OK"
"2364","1947","","","OK"
"2365","1948","","","OK"
"2366","1949","","","OK"
"2367","1950","","","OK"
"2368","1951","","","OK"
"2369","1952","","","OK"
"2370","1953","","","OK"
"2371","1954","","","OK"
"2372","1955","","","OK"
"2373","1956","","","OK"
"2374","1957","","","OK"
"2375","1958","","","OK"
"2376","1959","","","OK"
"2377","1960","","","OK"
"2378","1961","","","OK"
"2379","1962","","","OK"
"2380","1963","","","OK"
"2381","1964","","","OK"
"2382","1965","","","OK"
"2383","1966","","","OK"
"2384","1967","","","OK"
"2385","1968","","","OK"
"2386","1969","","","OK"
"2387","1970","","","OK"
"2388","1971","","","OK"
"2389","1972","","","OK"
"2390","1973","","590","OK"
"2391","1974","4,416","4,350","OK"
"2392","1975","5,808","6,780","OK"
"2393","1976","7,551","7,550","OK"
"2394","1977","8,220","9,990","OK"
"2395","1978","10,072","11,180","OK"
"2396","1979","10,710","10,820","OK"
"2397","1980","11,264","11,280","OK"
"2398","1981","10,327","12,360","OK"
"2399","1982","12,424","12,690","OK"
"2400","1983","11,759","","OK"
"2401","1984","8,508","12,630","OK"
"2402","1985","8,495","13,100","OK"
"2403","1986","6,437","","OK"
"2404","1987","5,909","11,000","OK"
"2405","1988","11,073","12,120","OK"
"2406","1989","11,594","","OK"
"2407","1990","10,708","","OK"
"2408","1991","10,533","9,130","OK"
"2409","1992","9,881","8,940","OK"
"2410","1993","10,071","","OK"
"2411","1994","6,774","","OK"
"2412","1995","7,985","9,130","OK"
"2413","1996","6,769","8,400","OK"
"2414","1997","6,428","","OK"
"2415","1998","","","OK"
"2416","1999","","(7,500)","OK"
"2417","2000","7,183","7,390","OK"
"2418","2001","7,038","","OK"
"2419","2002","6,500","","OK"
"2420","2003","6,644","","OK"
"2421","2004","6,712","(7,100)","OK"
"2422","2005","6,641","6,950","OK"
"2423","2006","7,088","","OK"
"2424","2007","6,640","7,000","OK"
"2425","2008","6,478","7,160","OK"
"2426","2009","6,430","","OK"
"2427","2010","6,097","6,290","OK"
"2428","2011","5,416","5,860","OK"
"2429","2012","5,150","","OK"
"2430","2013","5,013","5,770","OK"
"2431","2014","4,916","5,330","OK"
"2432","2015","4,709","","OK"
"2433","2016","3,942","","OK"
"2434","2017","4,394","","OK"
"2435","2018","","","OK"
"2436","year","abortions, reported(CDC/state)","abortions(AGI)","OK"
"2437","year","total in state","abortions(AGI)","OK"
"2438","year","total in state","abortions(AGI)","OR"
"2439","1930","","","OR"
"2440","1931","","","OR"
"2441","1932","","","OR"
"2442","1933","","","OR"
"2443","1934","","","OR"
"2444","1935","","","OR"
"2445","1936","","","OR"
"2446","1937","","","OR"
"2447","1938","","","OR"
"2448","1939","","","OR"
"2449","1940","","","OR"
"2450","1941","","","OR"
"2451","1942","","","OR"
"2452","1943","","","OR"
"2453","1944","","","OR"
"2454","1945","","","OR"
"2455","1946","","","OR"
"2456","1947","","","OR"
"2457","1948","","","OR"
"2458","1949","","","OR"
"2459","1950","","","OR"
"2460","1951","","","OR"
"2461","1952","","","OR"
"2462","1953","","","OR"
"2463","1954","","","OR"
"2464","1955","","","OR"
"2465","1956","","","OR"
"2466","1957","","","OR"
"2467","1958","","","OR"
"2468","1959","","","OR"
"2469","1960","","","OR"
"2470","1961","","","OR"
"2471","1962","","","OR"
"2472","1963","","","OR"
"2473","1964","","","OR"
"2474","1965","","","OR"
"2475","1966","","","OR"
"2476","1967","","","OR"
"2477","1968","323","","OR"
"2478","1969","1,407","","OR"
"2479","1970","7,196","","OR"
"2480","1971","6,997","","OR"
"2481","1972","7,143","","OR"
"2482","1973","7,447","11,440","OR"
"2483","1974","8,794","13,390","OR"
"2484","1975","10,641","13,270","OR"
"2485","1976","12,590","12,820","OR"
"2486","1977","13,163","15,070","OR"
"2487","1978","13,605","14,450","OR"
"2488","1979","14,501","17,690","OR"
"2489","1980","15,735","17,670","OR"
"2490","1981","14,799","15,990","OR"
"2491","1982","12,807","16,350","OR"
"2492","1983","12,064","","OR"
"2493","1984","13,133","15,310","OR"
"2494","1985","12,056","15,230","OR"
"2495","1986","11,217","","OR"
"2496","1987","11,147","14,370","OR"
"2497","1988","13,309","15,960","OR"
"2498","1989","13,928","","OR"
"2499","1990","13,658","","OR"
"2500","1991","14,310","16,580","OR"
"2501","1992","12,685","16,060","OR"
"2502","1993","12,961","","OR"
"2503","1994","13,392","","OR"
"2504","1995","14,079","15,590","OR"
"2505","1996","13,767","15,050","OR"
"2506","1997","14,834","","OR"
"2507","1998","14,344","","OR"
"2508","1999","14,145","(16,700)","OR"
"2509","2000","14,194","17,010","OR"
"2510","2001","14,272","","OR"
"2511","2002","13,172","","OR"
"2512","2003","12,622","","OR"
"2513","2004","11,443","(13,200)","OR"
"2514","2005","11,602","13,200","OR"
"2515","2006","12,246","","OR"
"2516","2007","11,883","13,370","OR"
"2517","2008","11,610","12,920","OR"
"2518","2009","10,801","","OR"
"2519","2010","9,990","11,010","OR"
"2520","2011","9,567","10,690","OR"
"2521","2012","9,016","","OR"
"2522","2013","8,287","9,130","OR"
